lon,lat,year,pdsi
-91.75,36.75,1600,0.459
-91.75,36.75,1601,0.561
-91.75,36.75,1602,0.855
-91.75,36.75,1603,0.543
-91.75,36.75,1604,0.946
-91.75,36.75,1605,1.464
-91.75,36.75,1606,3.864
-91.75,36.75,1607,1.774
-91.75,36.75,1608,-2.722
-91.75,36.75,1609,0.062
-91.75,36.75,1610,-0.292
-91.75,36.75,1611,0.323
-91.75,36.75,1612,-1.511
-91.75,36.75,1613,-1.054
-91.75,36.75,1614,-1.36
-91.75,36.75,1615,-0.26
-91.75,36.75,1616,-0.996
-91.75,36.75,1617,-0.067
-91.75,36.75,1618,-0.854
-91.75,36.75,1619,-2.012
-91.75,36.75,1620,2.127
-91.75,36.75,1621,2.881
-91.75,36.75,1622,0.1
-91.75,36.75,1623,1.209
-91.75,36.75,1624,1.795
-91.75,36.75,1625,-0.359
-91.75,36.75,1626,1.267
-91.75,36.75,1627,-1.823
-91.75,36.75,1628,-2.92
-91.75,36.75,1629,2.263
-91.75,36.75,1630,-0.613
-91.75,36.75,1631,-1.65
-91.75,36.75,1632,-0.887
-91.75,36.75,1633,2.315
-91.75,36.75,1634,0.332
-91.75,36.75,1635,-0.209
-91.75,36.75,1636,2.666
-91.75,36.75,1637,2.134
-91.75,36.75,1638,-0.486
-91.75,36.75,1639,0.622
-91.75,36.75,1640,-1.59
-91.75,36.75,1641,-0.179
-91.75,36.75,1642,-0.805
-91.75,36.75,1643,-2.401
-91.75,36.75,1644,-2.621
-91.75,36.75,1645,-2.625
-91.75,36.75,1646,-2.386
-91.75,36.75,1647,1.722
-91.75,36.75,1648,-0.579
-91.75,36.75,1649,1.489
-91.75,36.75,1650,-1.853
-91.75,36.75,1651,-0.326
-91.75,36.75,1652,-2.028
-91.75,36.75,1653,0.936
-91.75,36.75,1654,-2.703
-91.75,36.75,1655,-1.995
-91.75,36.75,1656,-0.452
-91.75,36.75,1657,1.277
-91.75,36.75,1658,0.115
-91.75,36.75,1659,-0.562
-91.75,36.75,1660,0.606
-91.75,36.75,1661,1.77
-91.75,36.75,1662,1.52
-91.75,36.75,1663,0.227
-91.75,36.75,1664,-0.574
-91.75,36.75,1665,-0.306
-91.75,36.75,1666,-1.236
-91.75,36.75,1667,-0.026
-91.75,36.75,1668,-0.454
-91.75,36.75,1669,-0.503
-91.75,36.75,1670,-2.458
-91.75,36.75,1671,-1.726
-91.75,36.75,1672,-0.399
-91.75,36.75,1673,0.427
-91.75,36.75,1674,1.168
-91.75,36.75,1675,-0.249
-91.75,36.75,1676,-1.467
-91.75,36.75,1677,0.012
-91.75,36.75,1678,1.21
-91.75,36.75,1679,-1.031
-91.75,36.75,1680,1.863
-91.75,36.75,1681,-2.469
-91.75,36.75,1682,-0.804
-91.75,36.75,1683,0.318
-91.75,36.75,1684,-0.556
-91.75,36.75,1685,-1.393
-91.75,36.75,1686,-0.345
-91.75,36.75,1687,-1.723
-91.75,36.75,1688,-0.518
-91.75,36.75,1689,-1.875
-91.75,36.75,1690,2.377
-91.75,36.75,1691,0.8
-91.75,36.75,1692,-0.42
-91.75,36.75,1693,-2.976
-91.75,36.75,1694,2.902
-91.75,36.75,1695,1.756
-91.75,36.75,1696,-1.541
-91.75,36.75,1697,-2.616
-91.75,36.75,1698,-2.092
-91.75,36.75,1699,-0.624
-91.75,36.75,1700,-0.75
-91.75,36.75,1701,1.424
-91.75,36.75,1702,0.768
-91.75,36.75,1703,-2.029
-91.75,36.75,1704,-1.213
-91.75,36.75,1705,-1.982
-91.75,36.75,1706,1.11
-91.75,36.75,1707,2.85
-91.75,36.75,1708,-3.325
-91.75,36.75,1709,-1.522
-91.75,36.75,1710,-0.805
-91.75,36.75,1711,0.965
-91.75,36.75,1712,-0.819
-91.75,36.75,1713,0.493
-91.75,36.75,1714,1.799
-91.75,36.75,1715,-0.314
-91.75,36.75,1716,1.626
-91.75,36.75,1717,1.523
-91.75,36.75,1718,-0.987
-91.75,36.75,1719,0.777
-91.75,36.75,1720,-1.332
-91.75,36.75,1721,-2.161
-91.75,36.75,1722,-0.684
-91.75,36.75,1723,-1.426
-91.75,36.75,1724,-0.223
-91.75,36.75,1725,-0.547
-91.75,36.75,1726,-0.098
-91.75,36.75,1727,-0.651
-91.75,36.75,1728,-3.142
-91.75,36.75,1729,2.47
-91.75,36.75,1730,-0.342
-91.75,36.75,1731,-1.497
-91.75,36.75,1732,0.786
-91.75,36.75,1733,1.596
-91.75,36.75,1734,-1.452
-91.75,36.75,1735,-0.705
-91.75,36.75,1736,-5.299
-91.75,36.75,1737,-3.351
-91.75,36.75,1738,-0.086
-91.75,36.75,1739,1.702
-91.75,36.75,1740,2.202
-91.75,36.75,1741,-0.766
-91.75,36.75,1742,-0.54
-91.75,36.75,1743,0.176
-91.75,36.75,1744,1.924
-91.75,36.75,1745,2.18
-91.75,36.75,1746,-0.855
-91.75,36.75,1747,2.285
-91.75,36.75,1748,-2.049
-91.75,36.75,1749,-1.769
-91.75,36.75,1750,1.33
-91.75,36.75,1751,0.176
-91.75,36.75,1752,-1.712
-91.75,36.75,1753,-1.4
-91.75,36.75,1754,-1.166
-91.75,36.75,1755,-2.067
-91.75,36.75,1756,-0.985
-91.75,36.75,1757,-0.396
-91.75,36.75,1758,-0.085
-91.75,36.75,1759,3.043
-91.75,36.75,1760,-0.974
-91.75,36.75,1761,1.158
-91.75,36.75,1762,-2.428
-91.75,36.75,1763,-1.262
-91.75,36.75,1764,2.578
-91.75,36.75,1765,0.605
-91.75,36.75,1766,-1.185
-91.75,36.75,1767,-4.031
-91.75,36.75,1768,0.573
-91.75,36.75,1769,1.853
-91.75,36.75,1770,-0.061
-91.75,36.75,1771,0.176
-91.75,36.75,1772,-3.885
-91.75,36.75,1773,-2.345
-91.75,36.75,1774,-1.446
-91.75,36.75,1775,0.345
-91.75,36.75,1776,2.064
-91.75,36.75,1777,1.149
-91.75,36.75,1778,-0.512
-91.75,36.75,1779,0.514
-91.75,36.75,1780,-1.278
-91.75,36.75,1781,2.836
-91.75,36.75,1782,1.419
-91.75,36.75,1783,2.022
-91.75,36.75,1784,-1.789
-91.75,36.75,1785,-1.874
-91.75,36.75,1786,-0.419
-91.75,36.75,1787,1.104
-91.75,36.75,1788,1.279
-91.75,36.75,1789,-1.996
-91.75,36.75,1790,-1.433
-91.75,36.75,1791,0.307
-91.75,36.75,1792,-1.477
-91.75,36.75,1793,0.128
-91.75,36.75,1794,-1.204
-91.75,36.75,1795,1.321
-91.75,36.75,1796,3.098
-91.75,36.75,1797,3.438
-91.75,36.75,1798,0.537
-91.75,36.75,1799,-2.737
-91.75,36.75,1800,-2.93
-91.75,36.75,1801,-4.248
-91.75,36.75,1802,0.309
-91.75,36.75,1803,-1.541
-91.75,36.75,1804,0.024
-91.75,36.75,1805,0.827
-91.75,36.75,1806,-0.844
-91.75,36.75,1807,0.567
-91.75,36.75,1808,0.149
-91.75,36.75,1809,-1.339
-91.75,36.75,1810,-0.1
-91.75,36.75,1811,3.804
-91.75,36.75,1812,-1.471
-91.75,36.75,1813,-0.611
-91.75,36.75,1814,-0.263
-91.75,36.75,1815,-0.527
-91.75,36.75,1816,-3.721
-91.75,36.75,1817,-1.417
-91.75,36.75,1818,-1.519
-91.75,36.75,1819,1.271
-91.75,36.75,1820,-1.491
-91.75,36.75,1821,-0.705
-91.75,36.75,1822,0.155
-91.75,36.75,1823,0.244
-91.75,36.75,1824,0.168
-91.75,36.75,1825,-0.95
-91.75,36.75,1826,0.206
-91.75,36.75,1827,1.875
-91.75,36.75,1828,1.194
-91.75,36.75,1829,-2.192
-91.75,36.75,1830,1.827
-91.75,36.75,1831,-0.099
-91.75,36.75,1832,-1.296
-91.75,36.75,1833,-0.516
-91.75,36.75,1834,-4.556
-91.75,36.75,1835,-2.085
-91.75,36.75,1836,0.77
-91.75,36.75,1837,0.874
-91.75,36.75,1838,-2.648
-91.75,36.75,1839,-2.252
-91.75,36.75,1840,0.931
-91.75,36.75,1841,-2.862
-91.75,36.75,1842,0.057
-91.75,36.75,1843,0.83
-91.75,36.75,1844,3.328
-91.75,36.75,1845,1.115
-91.75,36.75,1846,0.231
-91.75,36.75,1847,-0.507
-91.75,36.75,1848,0.065
-91.75,36.75,1849,2.942
-91.75,36.75,1850,-0.259
-91.75,36.75,1851,-1.969
-91.75,36.75,1852,0.086
-91.75,36.75,1853,-1.679
-91.75,36.75,1854,1.442
-91.75,36.75,1855,-2.58
-91.75,36.75,1856,-2.588
-91.75,36.75,1857,-2.648
-91.75,36.75,1858,0.785
-91.75,36.75,1859,-0.971
-91.75,36.75,1860,-1.916
-91.75,36.75,1861,-0.034
-91.75,36.75,1862,0.232
-91.75,36.75,1863,0.492
-91.75,36.75,1864,-1.355
-91.75,36.75,1865,0.151
-91.75,36.75,1866,2.064
-91.75,36.75,1867,0.306
-91.75,36.75,1868,-3.293
-91.75,36.75,1869,0.852
-91.75,36.75,1870,-1.524
-91.75,36.75,1871,-2.1
-91.75,36.75,1872,-1.662
-91.75,36.75,1873,-0.963
-91.75,36.75,1874,-4.25
-91.75,36.75,1875,-0.745
-91.75,36.75,1876,3.396
-91.75,36.75,1877,0.361
-91.75,36.75,1878,1.387
-91.75,36.75,1879,-2.79
-91.75,36.75,1880,0.47
-91.75,36.75,1881,-1.741
-91.75,36.75,1882,3.525
-91.75,36.75,1883,4.1
-91.75,36.75,1884,0.966
-91.75,36.75,1885,-0.954
-91.75,36.75,1886,-1.26
